Project Name,import-pandas,import-numpy,import-pyplot,import-sklearn,import-tensorflow,import-pytorch,unnecessary-iteration-pandas,dataframe-iteration-modification-pandas,unnecessary-iteration-tensorflow,nan-numpy,chain-indexing-pandas,datatype-pandas,column-selection-pandas,merge-parameter-pandas,inplace-pandas,dataframe-conversion-pandas,scaler-missing-scikitlearn,hyperparameters-scikitlearn,hyperparameters-tensorflow,hyperparameters-pytorch,memory-release-tensorflow,deterministic-pytorch,randomness-control-numpy,randomness-control-scikitlearn,randomness-control-tensorflow,randomness-control-pytorch,randomness-control-dataloader-pytorch,missing-mask-tensorflow,missing-mask-pytorch,tensor-array-tensorflow,forward-pytorch,gradient-clear-pytorch,pipeline-not-used-scikitlearn,dependent-threshold-scikitlearn,dependent-threshold-tensorflow,dependent-thrld-pytorch
glassy_dynamics (deepmind-research),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
kuzushiji-recognition,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
SIIM-ISIC-Melanoma-Classification-1st-Place-Solution,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,2,1,0,0,1,3,0,0,0,0,0,0,0,0,0
navigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,2,4,0,1,0,0,0,0,0,0,0
unrestricted_advx (deepmind-research),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kaggle-lyft-motion-prediction-av,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,7,0,0,8,8,0,4,0,0,0,0,0,0,0
cs_gan (deepmind-research),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
polygen (deepmind-research),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
python (google-landmarks-2020),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
muzero-general,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0
rl_unplugged (deepmind-research),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CellSignal-Cell-Image-Analysis,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,2,2,0,0,2,3,0,0,0,4,0,0,0,0,0
RSNA-STR-Pulmonary-Embolism-Detection,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,44,18,0,0,34,34,0,0,0,4,0,0,0,0,0
pix2pix-model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
self-attention-gan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
catch_carry (deepmind-research),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
tvt (deepmind-research),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interview,0,0,0,0,0,1,0,0,0,0,0,32,28,0,0,3,2,11,0,0,0,1,5,1,0,1,4,0,0,0,0,0,0,0,0,0
Kaggle_Lyft,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,10,0,0,0,0,0,3,1,0,0,1,2,0,2,0,0,0,0,0,0,0
Group28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DeOldify,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0
sketchy (deepmind-research),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yolact_edge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,5,1,0,3,0,0,0,0,0,0,0
byol (deepmind-research),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gated_linear_networks (deepmind-research),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
learning_to_simulate (deepmind-research),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
option_keyboard (deepmind-research),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
side_effects_penalties (deepmind-research),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kaggle-understanding-clouds,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
instance_level_recognition,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0
unsupervised_adversarial_training (deepmind-research),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
severstal-steel-defect-detection,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0
kaggle_moa_winner_hungry_for_gold,0,0,0,0,0,0,0,0,0,0,0,226,191,0,0,139,6,0,0,0,0,0,0,0,0,0,133,0,7,0,0,0,0,0,0,0
Kaggle-2020-Alaska2,0,0,0,3,0,0,0,0,0,0,8,100,38,0,0,13,0,0,0,5,0,18,24,1,1,18,30,0,2,0,0,0,0,0,0,0
kaggle-rcic-1st,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
BackgroundMattingV2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,6,0,0,0,0,0,0,0,0,0
svoice,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0
scratchgan (deepmind-research),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
kaggle-cloud-organization,0,0,0,0,0,0,0,0,0,0,0,36,15,0,0,2,0,0,0,0,0,11,3,0,0,11,12,0,1,0,0,0,0,0,0,0
RSNA2019_Intracranial-Hemorrhage-Detection,0,0,0,0,0,0,0,0,0,0,0,31,16,0,0,0,0,0,0,0,0,7,5,0,0,6,14,0,1,0,0,0,0,0,0,0
kaggle_rsna2019_3rd_solution,0,0,0,0,0,0,0,0,0,0,0,114,25,0,0,10,0,0,0,0,0,46,46,0,0,46,54,0,0,0,0,0,0,0,0,0
3rd-kaggle-moa-2020-solution,0,0,0,0,0,0,0,0,0,0,0,56,38,0,0,31,16,0,0,0,0,0,0,0,0,0,25,0,2,0,0,0,0,0,0,0
kaggle-lyft-motion-pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,2,0,0,0,0,0,0,0
faceswap-GAN,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alphafold_casp13 (deepmind-research),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
geomancer (deepmind-research),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mmv (deepmind-research),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
kaggle-rsna-pe,0,0,0,0,0,0,0,0,0,0,0,32,24,0,0,0,0,0,0,1,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0
kaggle-landmark-recognition-2020-1st-place,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
kaggle-kuzushiji-2019,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,2,0,5,4,0,0,5,6,0,2,0,0,0,0,0,0,0
RSNA-Pulmonary-Embolism-Detection,0,0,0,0,0,0,0,0,0,0,0,14,9,0,0,2,0,0,0,0,0,2,1,0,0,1,20,0,0,0,0,0,0,0,0,0
Google-Landmark-Recognition-2020-3rd-Place-Solution,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
PanopticFCN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hierarchical_probabilistic_unet (deepmind-research),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0
iodine (deepmind-research),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
physics_planning_games (deepmind-research),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multi_object_datasets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaggle-RSNA,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0
transporter (deepmind-research),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
understanding-cloud-organization,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0
kaggle-kuzushiji-recognition,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,8,1,0,0,8,1,0,5,0,3,0,0,0,0,0
kaggle-lyft-motion-prediction-4th-place-solution,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,17,11,0,0,17,10,0,8,0,0,0,0,0,0,0
DL-unet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,0,0,0,0,0,0,0,0,0
Kaggle-Recursion-Cellular,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0
pytorch-CycleGAN-and-pix2pix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
swa_object_detection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,15,2,0,0,15,15,0,7,0,23,0,0,0,0,0
curl (deepmind-research),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kaggle-rsna-intracranial-hemorrhage,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
