import-pandas & 0 & 0 & 100%
import-numpy & 25 & 25 & 100%
import-pyplot & 0 & 0 & 100%
import-sklearn & 22 & 22 & 100%
import-tensorflow & 4 & 4 & 100%
import-pytorch & 3 & 3 & 100%
unnecessary-iteration-pandas & 15 & 9 & 60%
dataframe-iteration-modification-pandas & 0 & 0 & 100%
unnecessary-iteration-tensorflow & 0 & 0 & 100%
nan-numpy & 0 & 0 & 100%
chain-indexing-pandas & 30 & 30 & 100%
datatype-pandas & 2352 & 2352 & 100%
column-selection-pandas & 1817 & 1817 & 100%
merge-parameter-pandas & 3 & 3 & 100%
inplace-pandas & 20 & 16 & 80%
dataframe-conversion-pandas & 405 & 385 & 95%
scaler-missing-scikitlearn & 90 & 86 & 95%
hyperparameters-scikitlearn & 431 & 431 & 100%
hyperparameters-tensorflow & 16 & 10 & 60%
hyperparameters-pytorch & 19 & 10 & 53%
memory-release-tensorflow & 0 & 0 & 100%
deterministic-pytorch & 295 & 295 & 100%
randomness-control-numpy & 668 & 601 & 90%
randomness-control-scikitlearn & 99 & 99 & 100%
randomness-control-tensorflow & 142 & 114 & 80%
randomness-control-pytorch & 258 & 181 & 70%
randomness-control-dataloader-pytorch & 511 & 511 & 100%
missing-mask-tensorflow & 7 & 6 & 86%
missing-mask-pytorch & 49 & 49 & 100%
tensor-array-tensorflow & 0 & 0 & 100%
forward-pytorch & 41 & 33 & 80%
gradient-clear-pytorch & 3 & 0 & 0%
pipeline-not-used-scikitlearn & 135 & 135 & 100%
dependent-threshold-scikitlearn & 3 & 3 & 100%
dependent-threshold-tensorflow & 0 & 0 & 100%
dependent-threshold-pytorch & 0 & 0 & 100%
